Elapsed_s,Generated_W,Consumed_W,Net_W,Illumination
1159200.0,459.0,54.5,404.5,1.0
1162800.0,459.0,54.5,404.5,1.0
1166400.0,459.0,54.5,404.5,1.0
1170000.0,459.0,54.5,404.5,1.0
1173600.0,459.0,54.5,404.5,1.0
1177200.0,459.0,54.5,404.5,1.0
1180800.0,459.0,54.5,404.5,1.0
1184400.0,459.0,54.5,404.5,1.0
1188000.0,459.0,54.5,404.5,1.0
1191600.0,459.0,54.5,404.5,1.0
1195200.0,459.0,54.5,404.5,1.0
1198800.0,459.0,54.5,404.5,1.0
1202400.0,459.0,54.5,404.5,1.0
1206000.0,459.0,54.5,404.5,1.0
1209600.0,459.0,54.5,404.5,1.0
1213200.0,459.0,54.5,404.5,1.0
1216800.0,459.0,54.5,404.5,1.0
1220400.0,459.0,54.5,404.5,1.0
1224000.0,459.0,54.5,404.5,1.0
1227600.0,459.0,54.5,404.5,1.0
1231200.0,459.0,54.5,404.5,1.0
1234800.0,459.0,54.5,404.5,1.0
1238400.0,459.0,54.5,404.5,1.0
1242000.0,459.0,54.5,404.5,1.0
1245600.0,459.0,54.5,404.5,1.0
1249200.0,459.0,54.5,404.5,1.0
1252800.0,459.0,54.5,404.5,1.0
1256400.0,459.0,54.5,404.5,1.0
1260000.0,459.0,54.5,404.5,1.0
1263600.0,459.0,54.5,404.5,1.0
1267200.0,459.0,54.5,404.5,1.0
1270800.0,459.0,54.5,404.5,1.0
1274400.0,459.0,54.5,404.5,1.0
1278000.0,459.0,54.5,404.5,1.0
1281600.0,459.0,54.5,404.5,1.0
1285200.0,459.0,54.5,404.5,1.0
1288800.0,459.0,54.5,404.5,1.0
1292400.0,459.0,54.5,404.5,1.0
1296000.0,459.0,54.5,404.5,1.0
1299600.0,459.0,54.5,404.5,1.0
1303200.0,459.0,54.5,404.5,1.0
1306800.0,459.0,54.5,404.5,1.0
1310400.0,459.0,54.5,404.5,1.0
1314000.0,459.0,54.5,404.5,1.0
1317600.0,459.0,54.5,404.5,1.0
1321200.0,459.0,54.5,404.5,1.0
1324800.0,459.0,54.5,404.5,1.0
1328400.0,459.0,54.5,404.5,1.0
1332000.0,459.0,54.5,404.5,1.0
1335600.0,459.0,54.5,404.5,1.0
1339200.0,459.0,54.5,404.5,1.0
1342800.0,459.0,54.5,404.5,1.0
1346400.0,459.0,54.5,404.5,1.0
1350000.0,459.0,54.5,404.5,1.0
1353600.0,459.0,54.5,404.5,1.0
1357200.0,459.0,54.5,404.5,1.0
1360800.0,459.0,54.5,404.5,1.0
1364400.0,459.0,54.5,404.5,1.0
1368000.0,459.0,54.5,404.5,1.0
1371600.0,459.0,54.5,404.5,1.0
1375200.0,459.0,54.5,404.5,1.0
1378800.0,459.0,54.5,404.5,1.0
1382400.0,459.0,54.5,404.5,1.0
1386000.0,459.0,54.5,404.5,1.0
1389600.0,459.0,54.5,404.5,1.0
1393200.0,459.0,54.5,404.5,1.0
1396800.0,459.0,54.5,404.5,1.0
1400400.0,459.0,54.5,404.5,1.0
1404000.0,459.0,54.5,404.5,1.0
1407600.0,459.0,54.5,404.5,1.0
1411200.0,459.0,54.5,404.5,1.0
1414800.0,459.0,54.5,404.5,1.0
1418400.0,459.0,54.5,404.5,1.0
1422000.0,459.0,54.5,404.5,1.0
1425600.0,459.0,54.5,404.5,1.0
1429200.0,459.0,54.5,404.5,1.0
1432800.0,459.0,54.5,404.5,1.0
1436400.0,459.0,54.5,404.5,1.0
1440000.0,459.0,54.5,404.5,1.0
1443600.0,459.0,54.5,404.5,1.0
1447200.0,459.0,54.5,404.5,1.0
1450800.0,459.0,54.5,404.5,1.0
1454400.0,459.0,54.5,404.5,1.0
1458000.0,459.0,54.5,404.5,1.0
1461600.0,459.0,54.5,404.5,1.0
1465200.0,459.0,54.5,404.5,1.0
1468800.0,459.0,54.5,404.5,1.0
1472400.0,459.0,54.5,404.5,1.0
1476000.0,459.0,54.5,404.5,1.0
1479600.0,459.0,54.5,404.5,1.0
1483200.0,459.0,54.5,404.5,1.0
1486800.0,459.0,54.5,404.5,1.0
1490400.0,459.0,54.5,404.5,1.0
1494000.0,459.0,54.5,404.5,1.0
1497600.0,459.0,54.5,404.5,1.0
1501200.0,459.0,54.5,404.5,1.0
1504800.0,459.0,54.5,404.5,1.0
1508400.0,459.0,54.5,404.5,1.0
1512000.0,459.0,54.5,404.5,1.0
1515600.0,459.0,54.5,404.5,1.0
1519200.0,459.0,54.5,404.5,1.0
1522800.0,459.0,54.5,404.5,1.0
1526400.0,459.0,54.5,404.5,1.0
1530000.0,459.0,54.5,404.5,1.0
1533600.0,459.0,54.5,404.5,1.0
1537200.0,459.0,54.5,404.5,1.0
1540800.0,459.0,54.5,404.5,1.0
1544400.0,459.0,54.5,404.5,1.0
1548000.0,459.0,54.5,404.5,1.0
1551600.0,459.0,54.5,404.5,1.0
1555200.0,459.0,54.5,404.5,1.0
1558800.0,459.0,54.5,404.5,1.0
1562400.0,459.0,54.5,404.5,1.0
1566000.0,459.0,54.5,404.5,1.0
1569600.0,459.0,54.5,404.5,1.0
1573200.0,459.0,54.5,404.5,1.0
1576800.0,459.0,54.5,404.5,1.0
1580400.0,459.0,54.5,404.5,1.0
1584000.0,459.0,54.5,404.5,1.0
1587600.0,459.0,54.5,404.5,1.0
1591200.0,459.0,54.5,404.5,1.0
1594800.0,459.0,54.5,404.5,1.0
1598400.0,459.0,54.5,404.5,1.0
1602000.0,459.0,54.5,404.5,1.0
1605600.0,459.0,54.5,404.5,1.0
1609200.0,459.0,54.5,404.5,1.0
1612800.0,459.0,54.5,404.5,1.0
1616400.0,459.0,54.5,404.5,1.0
1620000.0,459.0,54.5,404.5,1.0
1623600.0,459.0,54.5,404.5,1.0
1627200.0,459.0,54.5,404.5,1.0
1630800.0,459.0,54.5,404.5,1.0
1634400.0,459.0,54.5,404.5,1.0
1638000.0,459.0,54.5,404.5,1.0
1641600.0,459.0,54.5,404.5,1.0
1645200.0,459.0,54.5,404.5,1.0
1648800.0,459.0,54.5,404.5,1.0
1652400.0,459.0,54.5,404.5,1.0
1656000.0,459.0,54.5,404.5,1.0
1659600.0,459.0,54.5,404.5,1.0
1663200.0,459.0,54.5,404.5,1.0
1666800.0,459.0,54.5,404.5,1.0
1670400.0,459.0,54.5,404.5,1.0
1674000.0,459.0,54.5,404.5,1.0
1677600.0,459.0,54.5,404.5,1.0
1681200.0,459.0,54.5,404.5,1.0
1684800.0,459.0,54.5,404.5,1.0
1688400.0,459.0,54.5,404.5,1.0
1692000.0,459.0,54.5,404.5,1.0
