Elapsed_s,Battery_Wh
4496400.0,198.0
4500000.0,198.0
4503600.0,198.0
4507200.0,198.0
4510800.0,198.0
4514400.0,198.0
4518000.0,198.0
4521600.0,198.0
4525200.0,198.0
4528800.0,198.0
4532400.0,198.0
4536000.0,198.0
4539600.0,198.0
4543200.0,198.0
4546800.0,198.0
4550400.0,198.0
4554000.0,198.0
4557600.0,198.0
4561200.0,198.0
4564800.0,198.0
4568400.0,198.0
4572000.0,198.0
4575600.0,198.0
4579200.0,198.0
4582800.0,198.0
4586400.0,198.0
4590000.0,198.0
4593600.0,198.0
4597200.0,198.0
4600800.0,198.0
4604400.0,198.0
4608000.0,198.0
4611600.0,198.0
4615200.0,198.0
4618800.0,198.0
4622400.0,198.0
4626000.0,198.0
4629600.0,198.0
4633200.0,198.0
4636800.0,198.0
4640400.0,198.0
4644000.0,198.0
4647600.0,198.0
4651200.0,198.0
4654800.0,198.0
4658400.0,198.0
4662000.0,198.0
4665600.0,198.0
4669200.0,198.0
4672800.0,198.0
4676400.0,198.0
4680000.0,198.0
4683600.0,198.0
4687200.0,198.0
4690800.0,198.0
4694400.0,198.0
4698000.0,198.0
4701600.0,198.0
4705200.0,198.0
4708800.0,198.0
4712400.0,198.0
4716000.0,198.0
4719600.0,198.0
4723200.0,198.0
4726800.0,198.0
4730400.0,198.0
4734000.0,198.0
4737600.0,198.0
4741200.0,198.0
4744800.0,198.0
4748400.0,198.0
4752000.0,198.0
4755600.0,198.0
4759200.0,198.0
4762800.0,198.0
4766400.0,198.0
4770000.0,198.0
4773600.0,198.0
4777200.0,198.0
4780800.0,198.0
4784400.0,198.0
4788000.0,198.0
4791600.0,198.0
4795200.0,198.0
4798800.0,198.0
4802400.0,198.0
4806000.0,198.0
4809600.0,198.0
4813200.0,198.0
4816800.0,198.0
4820400.0,198.0
4824000.0,198.0
4827600.0,198.0
4831200.0,198.0
4834800.0,198.0
4838400.0,198.0
4842000.0,198.0
4845600.0,198.0
4849200.0,198.0
4852800.0,198.0
4856400.0,198.0
4860000.0,198.0
4863600.0,198.0
4867200.0,198.0
4870800.0,198.0
4874400.0,198.0
4878000.0,198.0
4881600.0,198.0
4885200.0,198.0
4888800.0,198.0
4892400.0,198.0
4896000.0,198.0
4899600.0,198.0
4903200.0,198.0
4906800.0,198.0
4910400.0,198.0
4914000.0,198.0
4917600.0,198.0
4921200.0,198.0
4924800.0,198.0
4928400.0,198.0
4932000.0,198.0
4935600.0,198.0
4939200.0,198.0
4942800.0,198.0
4946400.0,198.0
4950000.0,198.0
4953600.0,198.0
4957200.0,198.0
4960800.0,198.0
4964400.0,198.0
4968000.0,198.0
4971600.0,198.0
4975200.0,198.0
4978800.0,198.0
4982400.0,198.0
4986000.0,198.0
4989600.0,198.0
