Elapsed_s,Thrust_On,Propellant_Remaining_kg,Cycles
1483200.0,True,19.8164510816639,64
1486800.0,True,19.813583129814898,65
1490400.0,True,19.813583129814898,65
1494000.0,True,19.810715177965896,66
1497600.0,True,19.810715177965896,66
1501200.0,True,19.807847226116895,67
1504800.0,True,19.807847226116895,67
1508400.0,True,19.804979274267893,68
1512000.0,True,19.804979274267893,68
1515600.0,True,19.80211132241889,69
1519200.0,True,19.80211132241889,69
1522800.0,True,19.79924337056989,70
1526400.0,True,19.79924337056989,70
1530000.0,True,19.79637541872089,71
1533600.0,True,19.79637541872089,71
1537200.0,True,19.793507466871887,72
1540800.0,True,19.793507466871887,72
1544400.0,True,19.790639515022885,73
1548000.0,True,19.790639515022885,73
1551600.0,True,19.787771563173884,74
1555200.0,True,19.787771563173884,74
1558800.0,True,19.784903611324882,75
1562400.0,True,19.784903611324882,75
1566000.0,True,19.78203565947588,76
1569600.0,True,19.78203565947588,76
1573200.0,True,19.77916770762688,77
1576800.0,True,19.77916770762688,77
1580400.0,True,19.776299755777877,78
1584000.0,True,19.776299755777877,78
1587600.0,True,19.773431803928876,79
1591200.0,True,19.773431803928876,79
1594800.0,True,19.770563852079874,80
1598400.0,True,19.770563852079874,80
1602000.0,True,19.767695900230873,81
1605600.0,True,19.767695900230873,81
1609200.0,True,19.76482794838187,82
1612800.0,True,19.76482794838187,82
1616400.0,True,19.76195999653287,83
1620000.0,True,19.76195999653287,83
1623600.0,True,19.759092044683868,84
1627200.0,True,19.759092044683868,84
1630800.0,True,19.756224092834866,85
1634400.0,True,19.756224092834866,85
1638000.0,True,19.753356140985865,86
1641600.0,True,19.753356140985865,86
1645200.0,True,19.750488189136863,87
1648800.0,True,19.750488189136863,87
1652400.0,True,19.74762023728786,88
1656000.0,True,19.74762023728786,88
1659600.0,True,19.74475228543886,89
1663200.0,True,19.74475228543886,89
1666800.0,True,19.74188433358986,90
1670400.0,True,19.74188433358986,90
1674000.0,True,19.739016381740857,91
1677600.0,True,19.739016381740857,91
1681200.0,True,19.736148429891855,92
1684800.0,True,19.736148429891855,92
1688400.0,True,19.733280478042854,93
1692000.0,True,19.733280478042854,93
1695600.0,True,19.730412526193852,94
1699200.0,True,19.730412526193852,94
1702800.0,True,19.72754457434485,95
1706400.0,True,19.72754457434485,95
1710000.0,True,19.72467662249585,96
1713600.0,True,19.72467662249585,96
1717200.0,True,19.721808670646848,97
1720800.0,True,19.721808670646848,97
1724400.0,True,19.718940718797846,98
1728000.0,True,19.718940718797846,98
1731600.0,True,19.716072766948844,99
1735200.0,True,19.716072766948844,99
1738800.0,True,19.713204815099843,100
1742400.0,True,19.713204815099843,100
1746000.0,True,19.71033686325084,101
1749600.0,True,19.71033686325084,101
1753200.0,True,19.70746891140184,102
1756800.0,True,19.70746891140184,102
1760400.0,True,19.704600959552838,103
1764000.0,True,19.704600959552838,103
1767600.0,True,19.701733007703837,104
1771200.0,True,19.701733007703837,104
1774800.0,True,19.698865055854835,105
1778400.0,True,19.698865055854835,105
1782000.0,True,19.695997104005833,106
1785600.0,True,19.695997104005833,106
1789200.0,True,19.693129152156832,107
1792800.0,True,19.693129152156832,107
1796400.0,True,19.69026120030783,108
1800000.0,True,19.69026120030783,108
1803600.0,True,19.68739324845883,109
1807200.0,True,19.68739324845883,109
1810800.0,True,19.684525296609827,110
1814400.0,True,19.684525296609827,110
1818000.0,True,19.681657344760826,111
1821600.0,True,19.681657344760826,111
1825200.0,True,19.678789392911824,112
1828800.0,True,19.678789392911824,112
1832400.0,True,19.675921441062822,113
1836000.0,True,19.675921441062822,113
1839600.0,True,19.67305348921382,114
1843200.0,True,19.67305348921382,114
1846800.0,True,19.67018553736482,115
1850400.0,True,19.67018553736482,115
1854000.0,True,19.667317585515818,116
1857600.0,True,19.667317585515818,116
1861200.0,True,19.664449633666816,117
1864800.0,True,19.664449633666816,117
1868400.0,True,19.661581681817815,118
1872000.0,True,19.661581681817815,118
1875600.0,True,19.658713729968813,119
1879200.0,True,19.658713729968813,119
1882800.0,True,19.65584577811981,120
1886400.0,True,19.65584577811981,120
1890000.0,True,19.65297782627081,121
1893600.0,True,19.65297782627081,121
1897200.0,True,19.65010987442181,122
1900800.0,True,19.65010987442181,122
1904400.0,True,19.647241922572807,123
1908000.0,True,19.647241922572807,123
1911600.0,True,19.644373970723805,124
1915200.0,True,19.644373970723805,124
1918800.0,True,19.641506018874804,125
1922400.0,True,19.641506018874804,125
1926000.0,True,19.638638067025802,126
1929600.0,True,19.638638067025802,126
1933200.0,True,19.6357701151768,127
1936800.0,True,19.6357701151768,127
1940400.0,True,19.6329021633278,128
1944000.0,True,19.6329021633278,128
1947600.0,True,19.630034211478797,129
1951200.0,True,19.630034211478797,129
1954800.0,True,19.627166259629796,130
1958400.0,True,19.627166259629796,130
1962000.0,True,19.624298307780794,131
1965600.0,True,19.624298307780794,131
1969200.0,True,19.621430355931793,132
1972800.0,True,19.621430355931793,132
1976400.0,True,19.61856240408279,133
1980000.0,True,19.61856240408279,133
1983600.0,True,19.61569445223379,134
1987200.0,True,19.61569445223379,134
1990800.0,True,19.612826500384788,135
1994400.0,True,19.612826500384788,135
1998000.0,True,19.609958548535786,136
2001600.0,True,19.609958548535786,136
2005200.0,True,19.607090596686785,137
2008800.0,True,19.607090596686785,137
2012400.0,True,19.604222644837783,138
2016000.0,True,19.604222644837783,138
2019600.0,True,19.60135469298878,139
2023200.0,True,19.60135469298878,139
2026800.0,True,19.59848674113978,140
2030400.0,True,19.59848674113978,140
2034000.0,True,19.59561878929078,141
2037600.0,True,19.59561878929078,141
2041200.0,True,19.592750837441777,142
2044800.0,True,19.592750837441777,142
2048400.0,True,19.589882885592775,143
2052000.0,True,19.589882885592775,143
2055600.0,True,19.587014933743774,144
2059200.0,True,19.587014933743774,144
2062800.0,True,19.584146981894772,145
2066400.0,True,19.584146981894772,145
2070000.0,True,19.58127903004577,146
2073600.0,True,19.58127903004577,146
2077200.0,True,19.57841107819677,147
2080800.0,True,19.57841107819677,147
2084400.0,True,19.575543126347767,148
2088000.0,True,19.575543126347767,148
2091600.0,True,19.572675174498766,149
2095200.0,True,19.572675174498766,149
2098800.0,True,19.569807222649764,150
2102400.0,True,19.569807222649764,150
2106000.0,True,19.566939270800763,151
2109600.0,True,19.566939270800763,151
2113200.0,True,19.56407131895176,152
2116800.0,True,19.56407131895176,152
2120400.0,True,19.56120336710276,153
2124000.0,True,19.56120336710276,153
2127600.0,True,19.558335415253758,154
2131200.0,True,19.558335415253758,154
2134800.0,True,19.555467463404757,155
2138400.0,True,19.555467463404757,155
2142000.0,True,19.552599511555755,156
2145600.0,True,19.552599511555755,156
2149200.0,True,19.549731559706753,157
2152800.0,True,19.549731559706753,157
2156400.0,True,19.546863607857752,158
2160000.0,True,19.546863607857752,158
2163600.0,True,19.54399565600875,159
2167200.0,True,19.54399565600875,159
2170800.0,True,19.54112770415975,160
2174400.0,True,19.54112770415975,160
2178000.0,True,19.538259752310747,161
2181600.0,True,19.538259752310747,161
2185200.0,True,19.535391800461746,162
2188800.0,True,19.535391800461746,162
2192400.0,True,19.532523848612744,163
2196000.0,True,19.532523848612744,163
2199600.0,True,19.529655896763742,164
2203200.0,True,19.529655896763742,164
2206800.0,True,19.52678794491474,165
2210400.0,True,19.52678794491474,165
2214000.0,True,19.52391999306574,166
2217600.0,True,19.52391999306574,166
2221200.0,False,19.52391999306574,166
2224800.0,False,19.52391999306574,166
2228400.0,False,19.52391999306574,166
2232000.0,False,19.52391999306574,166
2235600.0,False,19.52391999306574,166
2239200.0,False,19.52391999306574,166
