Elapsed_s,Battery_Wh
2440800.0,800.0
2444400.0,800.0
2448000.0,800.0
2451600.0,800.0
2455200.0,800.0
2458800.0,800.0
2462400.0,800.0
2466000.0,800.0
2469600.0,800.0
2473200.0,800.0
2476800.0,800.0
2480400.0,800.0
2484000.0,800.0
2487600.0,800.0
2491200.0,800.0
2494800.0,800.0
2498400.0,800.0
2502000.0,800.0
2505600.0,800.0
2509200.0,800.0
2512800.0,800.0
2516400.0,800.0
2520000.0,800.0
2523600.0,800.0
2527200.0,800.0
2530800.0,800.0
2534400.0,800.0
2538000.0,800.0
2541600.0,800.0
2545200.0,800.0
2548800.0,800.0
2552400.0,800.0
2556000.0,800.0
2559600.0,800.0
2563200.0,800.0
2566800.0,800.0
2570400.0,800.0
2574000.0,800.0
2577600.0,800.0
2581200.0,800.0
2584800.0,800.0
2588400.0,800.0
2592000.0,800.0
2595600.0,800.0
2599200.0,800.0
2602800.0,800.0
2606400.0,800.0
2610000.0,800.0
2613600.0,800.0
2617200.0,800.0
2620800.0,800.0
2624400.0,800.0
2628000.0,800.0
2631600.0,800.0
2635200.0,800.0
2638800.0,800.0
2642400.0,800.0
2646000.0,800.0
2649600.0,800.0
2653200.0,800.0
2656800.0,800.0
2660400.0,800.0
2664000.0,800.0
2667600.0,800.0
2671200.0,800.0
2674800.0,800.0
2678400.0,800.0
2682000.0,800.0
2685600.0,800.0
2689200.0,800.0
2692800.0,800.0
2696400.0,800.0
2700000.0,800.0
2703600.0,800.0
2707200.0,800.0
2710800.0,800.0
2714400.0,800.0
2718000.0,800.0
2721600.0,800.0
2725200.0,800.0
2728800.0,800.0
2732400.0,800.0
2736000.0,800.0
2739600.0,800.0
2743200.0,800.0
2746800.0,800.0
2750400.0,425.7894736842106
2754000.0,789.8394736842106
2757600.0,415.62894736842117
2761200.0,779.6789473684212
2764800.0,405.46842105263175
2768400.0,769.5184210526318
2772000.0,395.30789473684234
2775600.0,759.3578947368424
2779200.0,385.14736842105293
2782800.0,749.1973684210529
2786400.0,374.9868421052635
2790000.0,739.0368421052635
2793600.0,364.8263157894741
2797200.0,728.8763157894741
2800800.0,354.6657894736847
2804400.0,718.7157894736847
2808000.0,344.5052631578953
2811600.0,708.5552631578953
2815200.0,334.3447368421059
2818800.0,698.3947368421059
2822400.0,324.18421052631646
2826000.0,688.2342105263165
2829600.0,314.02368421052705
2833200.0,678.0736842105271
2836800.0,303.86315789473764
2840400.0,667.9131578947377
2844000.0,293.7026315789482
2847600.0,657.7526315789482
2851200.0,283.5421052631588
2854800.0,647.5921052631588
2858400.0,273.3815789473694
2862000.0,637.4315789473694
2865600.0,263.22105263158
2869200.0,627.27105263158
2872800.0,253.06052631579058
2876400.0,617.1105263157906
2880000.0,242.90000000000117
2883600.0,606.9500000000012
2887200.0,232.73947368421176
2890800.0,596.7894736842118
2894400.0,222.57894736842235
2898000.0,586.6289473684224
2901600.0,212.41842105263294
2905200.0,576.468421052633
2908800.0,800.0
2912400.0,425.7894736842106
2916000.0,789.8394736842106
2919600.0,415.62894736842117
2923200.0,779.6789473684212
2926800.0,405.46842105263175
2930400.0,769.5184210526318
2934000.0,395.30789473684234
2937600.0,759.3578947368424
2941200.0,385.14736842105293
2944800.0,749.1973684210529
2948400.0,374.9868421052635
2952000.0,739.0368421052635
2955600.0,364.8263157894741
2959200.0,728.8763157894741
2962800.0,354.6657894736847
2966400.0,718.7157894736847
2970000.0,344.5052631578953
2973600.0,708.5552631578953
2977200.0,334.3447368421059
2980800.0,698.3947368421059
2984400.0,324.18421052631646
2988000.0,688.2342105263165
2991600.0,314.02368421052705
2995200.0,678.0736842105271
2998800.0,303.86315789473764
3002400.0,667.9131578947377
3006000.0,293.7026315789482
3009600.0,657.7526315789482
3013200.0,283.5421052631588
3016800.0,647.5921052631588
3020400.0,273.3815789473694
3024000.0,637.4315789473694
3027600.0,263.22105263158
3031200.0,627.27105263158
3034800.0,253.06052631579058
3038400.0,617.1105263157906
3042000.0,242.90000000000117
3045600.0,606.9500000000012
3049200.0,232.73947368421176
3052800.0,596.7894736842118
3056400.0,222.57894736842235
3060000.0,586.6289473684224
3063600.0,212.41842105263294
3067200.0,576.468421052633
3070800.0,800.0
3074400.0,425.7894736842106
3078000.0,789.8394736842106
3081600.0,415.62894736842117
3085200.0,779.6789473684212
3088800.0,405.46842105263175
3092400.0,769.5184210526318
3096000.0,395.30789473684234
3099600.0,759.3578947368424
3103200.0,385.14736842105293
3106800.0,749.1973684210529
3110400.0,800.0
3114000.0,800.0
3117600.0,800.0
3121200.0,800.0
3124800.0,800.0
3128400.0,800.0
3132000.0,800.0
3135600.0,800.0
3139200.0,800.0
3142800.0,800.0
3146400.0,800.0
3150000.0,800.0
3153600.0,800.0
3157200.0,800.0
3160800.0,800.0
3164400.0,800.0
3168000.0,800.0
3171600.0,800.0
3175200.0,800.0
3178800.0,800.0
3182400.0,800.0
3186000.0,800.0
3189600.0,800.0
3193200.0,800.0
3196800.0,800.0
3200400.0,800.0
3204000.0,800.0
3207600.0,800.0
3211200.0,800.0
3214800.0,800.0
3218400.0,800.0
3222000.0,800.0
3225600.0,800.0
3229200.0,800.0
3232800.0,800.0
3236400.0,800.0
3240000.0,800.0
3243600.0,800.0
3247200.0,800.0
3250800.0,800.0
3254400.0,800.0
3258000.0,800.0
3261600.0,800.0
3265200.0,800.0
3268800.0,800.0
3272400.0,800.0
3276000.0,800.0
3279600.0,800.0
3283200.0,800.0
3286800.0,800.0
3290400.0,800.0
3294000.0,800.0
3297600.0,800.0
3301200.0,800.0
3304800.0,800.0
3308400.0,800.0
3312000.0,800.0
3315600.0,800.0
3319200.0,800.0
3322800.0,800.0
3326400.0,800.0
3330000.0,800.0
3333600.0,800.0
3337200.0,800.0
3340800.0,800.0
3344400.0,800.0
3348000.0,800.0
3351600.0,800.0
3355200.0,800.0
3358800.0,800.0
3362400.0,800.0
3366000.0,800.0
3369600.0,800.0
3373200.0,800.0
3376800.0,800.0
3380400.0,800.0
3384000.0,800.0
3387600.0,800.0
3391200.0,800.0
3394800.0,800.0
3398400.0,800.0
3402000.0,800.0
3405600.0,800.0
3409200.0,800.0
3412800.0,800.0
3416400.0,800.0
3420000.0,800.0
3423600.0,800.0
3427200.0,800.0
3430800.0,800.0
3434400.0,800.0
3438000.0,800.0
3441600.0,800.0
3445200.0,800.0
3448800.0,800.0
3452400.0,800.0
3456000.0,800.0
3459600.0,800.0
3463200.0,800.0
3466800.0,800.0
3470400.0,800.0
3474000.0,800.0
3477600.0,800.0
3481200.0,800.0
3484800.0,800.0
3488400.0,800.0
3492000.0,800.0
3495600.0,800.0
3499200.0,800.0
3502800.0,800.0
3506400.0,800.0
3510000.0,800.0
3513600.0,800.0
3517200.0,800.0
3520800.0,800.0
3524400.0,800.0
3528000.0,800.0
3531600.0,800.0
3535200.0,800.0
3538800.0,800.0
3542400.0,800.0
3546000.0,800.0
3549600.0,800.0
3553200.0,800.0
3556800.0,800.0
3560400.0,800.0
3564000.0,800.0
3567600.0,800.0
3571200.0,800.0
3574800.0,800.0
3578400.0,800.0
3582000.0,800.0
3585600.0,800.0
3589200.0,800.0
3592800.0,800.0
3596400.0,800.0
3600000.0,800.0
3603600.0,800.0
3607200.0,800.0
3610800.0,800.0
3614400.0,800.0
3618000.0,800.0
3621600.0,800.0
3625200.0,800.0
3628800.0,800.0
